Date,y,b0,b1,b2
2003Q2,1.986090497,93,2.93268971,2.22842399
2003Q3,2.192353289,58,1.986090497,2.93268971
2003Q4,1.982053882,62,2.192353289,1.986090497
2004Q1,1.801832783,46,1.982053882,2.192353289
2004Q2,2.747263738,60,1.801832783,1.982053882
2004Q3,2.640061439,34,2.747263738,1.801832783
2004Q4,3.328773787,62,2.640061439,2.747263738
2005Q1,2.989667726,52,3.328773787,2.640061439
2005Q2,2.881564807,29,2.989667726,3.328773787
2005Q3,3.745303849,56,2.881564807,2.989667726
2005Q4,3.608735312,20,3.745303849,2.881564807
2006Q1,3.60812833,39,3.608735312,3.745303849
2006Q2,3.865435515,37,3.60812833,3.608735312
2006Q3,3.288806099,56,3.865435515,3.60812833
2006Q4,1.929738514,1,3.288806099,3.865435515
2007Q1,2.417101509,11,1.929738514,3.288806099
2007Q2,2.632893149,20,2.417101509,1.929738514
2007Q3,2.323083175,65,2.632893149,2.417101509
2007Q4,3.932607953,84,2.323083175,2.632893149
2008Q1,4.081019609,0,3.932607953,2.323083175
2008Q2,4.208676919,44,4.081019609,3.932607953
2008Q3,5.140014555,24,4.208676919,4.081019609
2008Q4,1.543180832,38,5.140014555,4.208676919
2009Q1,-0.155332652,91,1.543180832,5.140014555
2009Q2,-0.97062521,36,-0.155332652,1.543180832
2009Q3,-1.608267448,31,-0.97062521,-0.155332652
2009Q4,1.452977855,79,-1.608267448,-0.97062521
2010Q1,2.391499917,43,1.452977855,-1.608267448
2010Q2,1.751815545,40,2.391499917,1.452977855
2010Q3,1.210264428,6,1.751815545,2.391499917
2010Q4,1.158924458,58,1.210264428,1.751815545
